species,biomass_min,treeheight_min,soilmoisture_min,peatmap_min,biomass_max,treeheight_max,soilmoisture_max,peatmap_max,s2_NDVI_mean_min,hii_hii_mean_min,hii_population_density_mean_min,hii_power_mean_min,hii_roads_mean_min,dem_b1_mean_min,bioclim_bio01_mean_min,bioclim_bio12_mean_min,s2_NDVI_std_min,hii_hii_std_min,dem_b1_std_min,s2_NDVI_mean_max,hii_hii_mean_max,hii_population_density_mean_max,hii_power_mean_max,hii_roads_mean_max,dem_b1_mean_max,bioclim_bio01_mean_max,bioclim_bio12_mean_max,s2_NDVI_std_max,hii_hii_std_max,dem_b1_std_max,n_occ,AOO2km,EOOkm2,RedListCategory
Conferticium ochraceum,34.857,32.000275,19.90681,0.70704,160.30202499999996,115.86106499999998,69.7293,2.232075,0.1528308754567833,195.31545137537836,21.1597630204235,0.0,99.78205116196293,21.777486339163467,2.1039656295042723,556.3838937413503,0.0611294963674807,32.847577805576776,7.14424416401252,0.8064105381065928,2932.5456190248315,717.0285245629826,839.5219916453814,775.7379262505264,672.7387956170957,60.81870273012024,790.4048094788453,0.3948474008691925,1272.89219589993,66.40617718961406,315,916,348179.653699063,LC
Micarea denigrata,41.6882475,12.476875,15.0582025,0.493165,214.06045,108.1473025,79.92754249999997,2.1819325,0.0524633841476773,185.08333938227983,26.749617232364244,0.0,15.136946568115404,8.804503146699453,-5.013382251270179,511.5720019364586,0.0878722724359363,25.88266090901367,5.31430198681122,0.8031944291788153,3713.872228699683,888.0717073815626,900.0,843.3693033570011,510.3687952881324,74.86804467270827,920.7198557973866,0.4802796690478184,1064.938446314982,74.71351514023719,199,712,488864.931448,LC
Stereocaulon subcoralloides,31.998225,25.56362,14.6002975,0.3463975,195.3969375,103.9756625,80.23952499999999,2.00135,0.0668139449758405,242.91550698592113,44.65530709171269,0.0,29.001665153749165,7.6515856901938735,25.31636814900694,507.6604163142887,0.0986322378195236,32.83984285502487,8.423065731451256,0.7310772928912064,3991.968911782295,990.2493445314424,900.0,829.4964644675011,333.7115575303124,74.77442546848364,840.696078987095,0.5256197924746485,1143.4279768310746,43.259693706343846,47,164,207667.339833176,LC
Albertiniella polyporicola,61.8914875,26.33867,20.95449125,0.90601375,196.1098625,92.45687499999998,64.14692,1.8168737499999992,0.2821911342414922,917.7446834839864,290.8510599141433,114.6861006415458,65.5914339325537,13.400346104715585,54.55689757673818,540.408569024919,0.1316556753376929,141.86499764975326,5.914459029636411,0.6366776653258114,4411.238778184443,992.686962323518,904.2752192749964,844.558916467089,190.68378976896713,77.9292627854357,789.1141411572905,0.4118726895266532,1421.2403108671228,39.473506823784106,23,64,67941.2581805788,LC
Lepista sordida,34.566818749999996,6.32675,12.338195,0.4967875,239.198875,104.51960249999998,69.10176374999996,1.7821899999999984,0.0828772066555887,720.5991993260114,152.5034788746251,0.0,40.49828917338126,6.613137756069521,52.13773535716335,498.4210418735954,0.0744754899621949,153.523641774172,3.502370049824237,0.7913295392845103,4337.728030311344,959.7975634447592,900.0,836.897153493939,204.04282106053617,78.37089128167135,782.0166695389827,0.6021624720933144,1094.4790365932106,38.99194808407928,343,964,183167.322758753,LC
Amanita citrina,41.244725,21.11475,12.297955000000002,0.320405,205.496275,125.537575,94.7937499999999,1.724162499999998,0.0998982751642542,499.8635356558513,154.5936366514523,0.0,37.07892869166507,7.955871213214656,55.724671493693194,507.48552770324847,0.0773735381890181,111.57010535813237,3.929334046190316,0.8004929304992501,4317.379658517732,955.1944238625208,900.0,841.8036567393754,184.5673952825518,78.01031057793668,864.7562420619174,0.5769369791736926,1122.2686327898266,41.16533360884443,4775,8624,206449.605773954,LC
Urnula hiemalis,42.452025000000006,23.1198375,15.31605,0.7091624999999999,192.3451875,89.2724125,67.3717125,1.7054874999999998,0.0710419889333502,684.3964592205251,62.041720125807046,0.0,143.7433919060493,8.368868278368007,-4.547786279667903,467.0660067118726,0.1020216850508894,204.69987638293705,3.489170998348055,0.7028140224861803,4568.135563287841,926.2590524675198,916.4811282081596,853.3721535212096,275.05594271028303,75.0,692.6142725957143,0.3563147090541149,1217.2373565189089,36.780014445311394,182,236,299009.446922885,LC
Cetraria muricata,32.178440625,11.906823125,14.22743625,0.392634375,217.3737656249997,106.362245,86.25141624999988,1.8314168749999984,0.109224927384763,200.97616221649432,100.85818215512708,0.0,73.515762412036,6.688568337863467,19.118334341067285,502.7401873377069,0.0716834521428292,37.487436219632855,4.3826360129518065,0.7725103153250937,3876.515660213444,974.7274904771372,900.0,833.6747093411592,499.8466401121456,76.9802975238363,774.7425991508335,0.4779366110198485,1030.5903849318065,48.95498500226814,144,440,355359.277016832,LC
Nephroma parile,32.172690625,22.800509375,17.947334374999997,0.6210775000000001,148.75427812499998,108.943931875,75.88252687499997,2.2774681249999995,0.1334902512770105,61.484305852357416,12.681950288903158,0.0,17.220906483683788,30.081959313875902,-9.811128546021113,487.7862361018024,0.0593448268854816,7.567529143763866,7.632499100850591,0.8282938248653768,2006.9485483719131,529.5392251456755,723.9251480838305,720.0834853493955,652.4841471251601,69.43168869417033,914.580626075431,0.4471717943273504,692.518218477581,79.02007349776562,14717,32556,598549.639497266,LC
Placynthium nigrum,25.6768075,1.246985,10.5803925,0.0195075,253.23325,87.31351249999999,99.17882749999998,1.5360549999999995,-0.0531507251844753,448.0809682320263,128.85951721451346,0.0,78.09085997293612,3.757282091521692,26.95722568304301,488.6076328509892,0.0990585178183046,112.63817179494256,3.6258574132270542,0.781330315763362,4200.702294857726,867.5736417617072,891.8900365152023,878.9418312465974,385.5791135652197,76.42231112793183,751.051546175803,0.507274864252283,1030.9373660666838,35.42957268451494,159,448,231828.517081332,LC
