species,biomass_min,treeheight_min,soilmoisture_min,peatmap_min,groundcover_min,biomass_max,treeheight_max,soilmoisture_max,peatmap_max,groundcover_max,s2_NDVI_mean_min,hii_hii_mean_min,hii_population_density_mean_min,hii_power_mean_min,hii_roads_mean_min,dem_b1_mean_min,bioclim_bio01_mean_min,bioclim_bio12_mean_min,s2_NDVI_std_min,hii_hii_std_min,dem_b1_std_min,s2_NDVI_mean_max,hii_hii_mean_max,hii_population_density_mean_max,hii_power_mean_max,hii_roads_mean_max,dem_b1_mean_max,bioclim_bio01_mean_max,bioclim_bio12_mean_max,s2_NDVI_std_max,hii_hii_std_max,dem_b1_std_max,n_occ,AOO2km,EOOkm2,RedListCategory
Collybiopsis vaillantii,38.2863125,6.2410125,15.640590625,0.31160625,1.36311875,238.0724375,138.962278125,78.11508437500001,1.56525,22.94008125,0.1676411063269893,718.735299610238,228.980217889798,0.0,42.0113278647039,6.609919210207005,53.88550863856022,494.0729546249184,0.0977429400813214,118.2367201777134,2.967418283732852,0.7966240493386144,4307.592594058084,978.1799606030888,903.6135079912272,849.5070691556084,216.4164649563513,78.20983374813444,824.5396392917314,0.5583423541201139,969.9760278324782,39.429560374710285,58,200,130056.11563925,
Bovista aestivalis,51.147365,3.029485,9.78753,0.414405,0.7197450000000001,247.399875,96.178845,123.42007499999998,1.53299,24.93401,0.0326730589464601,772.368105247994,188.37053428733265,0.0,72.16311293258536,5.246045328344893,52.22423792768228,461.65883745526537,0.0542822152216462,124.29955588717613,2.1000952879972914,0.7964348041837593,3538.8056111534443,808.465574148441,880.3739900594826,811.4364797145887,176.0935892181755,78.87799432575753,771.630371710443,0.6583880437564984,1075.3387886296666,34.59869270345023,257,636,180793.478397856,LC
Gyroporus castaneus,42.438875,23.6972275,10.081079375,0.593139375,5.144759375,196.50906562500003,131.73954625000002,63.47397312500007,1.456025,80.40831437500003,0.2322094482942937,693.9915066453484,186.99820220510463,0.0,37.96719169549737,11.451280142484126,52.44016153363098,525.0050730943046,0.0858071213462277,198.378068604048,4.346182638892616,0.7933266629868274,3311.8339904109,949.9730892518984,900.0,804.4710257663402,227.70283696156991,78.0,848.5064672590454,0.4996161544753306,1134.0172563374683,48.713580617510495,298,532,128662.170273616,NT
Fellhanera subtilis,34.573675,41.97541,12.4739975,0.59604,8.48807,151.14726249999998,125.433975,75.331155,2.2351299999999976,42.56500749999983,0.1684920561183917,149.9551230589386,67.2680784460336,0.0,38.18130027455084,8.355427796787593,32.645152060896564,462.2587891426405,0.0906219616822155,35.980826656907915,4.429008493335116,0.8185016107661568,3238.4586824098524,805.377994214576,822.5270737154757,756.5248318807452,335.3676277469772,75.65357405128249,917.0200133947516,0.3903671178481152,667.1471536641211,40.35839655865944,70,216,161028.929722176,LC
Catathelasma imperiale,32.892,35.18329,19.9610675,0.56095,9.141035625,130.68849375,114.79724187499998,66.28105,1.9732918749999988,96.48423499999991,0.171002513193856,156.59029380164878,22.52738771556704,0.0,27.51527751210713,26.618386749264143,15.996403657122046,523.9774594427687,0.0602172316997107,19.225436402975827,7.643091720983952,0.856002962691224,3077.514177393515,745.7221910379196,900.0,716.4285548572601,570.2799376669267,67.50184976657607,856.558767404056,0.4340088480466404,1188.8274756507983,59.50227181908492,181,376,266224.435100455,VU
Thaxterogaster emollitoides,43.26957,9.718445,13.5804,0.8369449999999999,2.147735,222.840125,92.831995,58.96362499999999,1.50674,35.37392999999999,0.1938639406276602,976.044931371908,204.3781226963412,0.0,159.39055538833213,9.760049234553756,55.08112682081064,493.338818105093,0.0939329517246408,266.12430540917853,2.875321537344353,0.73817852900173,4729.804236496417,898.9601960422146,900.7800164063163,863.59958120486,156.5483257045252,78.60980403733359,746.001147415261,0.4047792568305423,755.0323761801639,16.94036981775981,18,60,86500.9280167185,
Cladonia cyanipes,54.974137500000005,5.18974625,16.2875275,0.5858362500000001,1.0989925000000005,238.94143125,106.97761875,78.69916,2.7759075,76.33849000000004,0.004254065799978,460.5492543205261,42.90726235247686,0.0,64.62902589005068,9.351722249210924,5.696133682677926,551.1820179191322,0.1181482786984704,106.88937534398428,6.329086474553175,0.7868198178005134,3226.6583254731213,863.8120659827791,878.7416317553733,760.7823174729588,567.4404725395988,74.27327281286817,918.3325292083108,0.4969077092363488,1179.9238996390366,64.61710878230095,15,60,142222.828372608,LC
Omphalina mutila,66.110160625,50.48562375,16.9801775,0.633355,10.270393125,156.283015625,91.48111625,63.72595437499999,1.256523125,76.713408125,0.1455450572126291,636.3277642674831,171.929732178647,0.0,242.73651118929055,14.989797712604515,58.6975938307539,551.6224311569663,0.1356324491254899,162.34680629489452,7.535049070216214,0.7826801891569906,3861.577011076081,879.4542944703603,819.875560294896,815.6932480201835,170.3134677519833,75.90323421641091,786.5410292628832,0.3306186404082217,1046.1826876331386,40.01525910188556,12,36,63571.5957357275,LC
Russula cremeoavellanea,48.020016875,20.5723675,19.169319375,0.61916875,5.494266875,186.20490312500007,105.292921875,64.834438125,1.6346787500000006,86.29802312500001,0.1872269471160817,520.953876546878,148.674750163331,0.0,31.81409956071884,14.67987426858543,28.868772173750244,538.3173019042387,0.0959995037607569,127.97474963937368,6.201297580254073,0.8223447113718038,4311.9188508295165,999.5523139277574,900.0,861.5861711316373,349.7042341044431,69.48885858833823,912.0141711701134,0.5834625383737391,951.2371561008046,52.25641133545914,141,412,222485.86055528,LC
Stictis radiata,35.62960875,19.197675,11.286774375,0.5728925,3.575969375,210.835625,89.10124937499998,61.32622249999999,1.3717418749999997,48.45684749999989,0.0968399952429125,685.054294527479,174.0744300697611,0.0,161.11312420167854,9.699295891788896,52.32605517472255,487.58183716522353,0.0881980906528841,213.8434323350435,3.5338242405922804,0.7416739703377652,4188.583575200957,929.7435421520364,899.999902897676,835.279809920516,273.7772008372741,77.24161394770253,750.7000566218574,0.48209812180793,1104.3321573753565,39.16399994782781,103,232,222837.852544749,
