species,biomass_min,treeheight_min,soilmoisture_min,peatmap_min,groundcover_min,biomass_max,treeheight_max,soilmoisture_max,peatmap_max,groundcover_max,s2_NDVI_mean_min,hii_hii_mean_min,hii_population_density_mean_min,hii_power_mean_min,hii_roads_mean_min,dem_b1_mean_min,bioclim_bio01_mean_min,bioclim_bio12_mean_min,s2_NDVI_std_min,hii_hii_std_min,dem_b1_std_min,s2_NDVI_mean_max,hii_hii_mean_max,hii_population_density_mean_max,hii_power_mean_max,hii_roads_mean_max,dem_b1_mean_max,bioclim_bio01_mean_max,bioclim_bio12_mean_max,s2_NDVI_std_max,hii_hii_std_max,dem_b1_std_max,n_occ,AOO2km,EOOkm2,RedListCategory
Acrocordia cavata,33.831525,25.665925,15.402375,0.283885,5.3918925,192.7473,114.2614725,99.21796249999991,2.10793,76.05505749999999,0.0826746439893331,272.57226132652454,96.9333238291821,0.0,54.72247660954565,8.64359032988484,40.4218677526965,492.72558865618055,0.0930694193307115,47.76160728531384,3.8077205005740287,0.8026507081256102,3234.932981014481,818.2117862374428,887.2004519868003,848.3795482935144,259.4620858456043,75.31545904101446,726.1556938197872,0.5815452601174541,1071.8334527846853,37.40564651003832,497,1252,263647.872762988,LC
Acrocordia conoidea,28.0262,1.4062825,10.0107,0.4280075,0.59138,249.6438375,63.90618249999999,66.99696,1.1790575,51.53181749999992,-0.0422248489363264,727.8555333417103,167.88946809045575,0.0,199.71690719939343,3.2389483128241148,69.57952486780317,484.9159503390448,0.1029844327274702,113.7106866512773,3.913188636045752,0.6812233342040608,4855.450758385011,996.7234919288684,935.049380239088,859.6579880737373,49.93422289111275,76.79448074776901,541.9462984747165,0.4733330325678568,812.1046988287258,16.958883634550773,53,136,43139.6146890449,LC
Acrocordia gemmata,40.79735,20.40871625,11.19521375,0.3868225,3.922605,206.83979375,109.44800125000005,85.95827000000003,1.72944,84.55741625,0.0353230391604171,293.38578555163264,110.5120900277536,0.0,41.35949976701413,7.885737247936162,52.82875694673792,502.4020101476982,0.0790066209507147,55.12134280808891,3.6042652245571167,0.8251855759397952,3425.443602307375,831.8279213667803,890.4713411031348,807.0487300665421,225.55790250587157,76.80725183234856,877.0304086822947,0.6060562410294998,963.9991969073192,36.43692808559287,3535,8040,191558.39829884,LC
Acrospermum compressum,44.215587500000005,11.50813625,10.9589125,0.606635,2.43639125,224.3649625,103.91612375,68.334575,1.5536824999999996,70.2008425,0.0763754798816671,899.0081207439614,169.99711398822316,0.0,123.5332647563198,8.651279795555007,50.9515497681129,522.1527359038716,0.0893839012016414,184.7191406904545,3.6400518005951774,0.71722096993943,4893.276878994911,974.6130466291484,900.3325605924712,861.168449671746,175.98559018968513,79.10226361152901,888.9208311994898,0.5213415162495356,1093.221893307615,32.21844277096633,147,468,168490.004749108,LC
Acrospermum graminum,55.475546875,14.76035625,10.1661,0.77934375,3.11978125,221.052296875,100.089965625,54.1030375,1.681340625,47.122715625,0.1651154023479474,878.6534681587277,239.7446223789114,0.0,177.49741277858485,16.605087750561616,57.64350940325515,520.8772039347297,0.1134009296943954,120.56341441640664,4.804079221850871,0.8259229855889446,4768.120681699269,995.5655975836928,908.9565625256756,911.8080508792656,221.01984002686257,78.4133727540606,919.157135064546,0.3176384825415291,1046.1507168013218,31.022618531570675,26,96,103526.762508417,LC
Actidium hysterioides,41.75325625,45.32629375,25.26370375,0.3397825,9.5720475,149.10958125000002,109.188176875,187.06304937500005,1.737048125,80.23836375000002,0.125786459465915,512.782843799355,73.23170596831974,0.0,187.82794168701344,10.236026900477604,23.65361108975352,538.5028642465961,0.0851315177078477,55.007374511424224,5.471020561585403,0.7550075310075348,2342.6304914144007,637.7443270477568,740.2419602624154,683.011632614411,442.8569853884912,76.65695979180983,838.6368481760563,0.5527100633724125,1147.522257678618,64.87567967667258,10,40,157664.226231237,LC
Adelolecia pilati,50.343945,15.060825,11.741395,0.646005,4.54372,207.32129999999995,94.480685,71.96455,2.18798,51.557614999999984,0.1585361606882506,116.6992996402613,12.0104883584365,0.0,76.06980565712422,41.95387994056608,-21.20875094375974,550.0596332698638,0.0915634587641488,18.99273692705469,13.367854542242387,0.7930780393819228,2817.34861796166,589.4229598790828,694.9042907256858,795.7558097022785,775.5037149467212,76.94925809324798,1002.5394558178408,0.3495971229877531,1373.5425531754163,148.8692710087754,17,48,218327.528637281,LC
Adelphella babingtonii,44.12275,10.69303,14.476265,0.517135,2.1743900000000003,226.954,135.57412499999998,92.65041999999984,1.534395,21.78512,0.1964055262468647,746.2435838588408,109.1073816982124,0.0,106.37735145181648,22.516790711870428,-6.46143520927304,505.7240592605486,0.0744489441661439,70.1397391274338,8.484150390618161,0.7739450520458167,3807.601055995724,844.6878704781695,892.8423471526205,835.1412208541169,337.065157247704,77.88662908335063,898.9406202436735,0.4217902471681735,1095.4966445339012,37.63231214290472,33,124,250547.940476215,
Agaricus altipes,55.531115625,18.433753750000005,22.43159375,0.7347131250000001,3.869533750000001,201.9279624999998,117.63763625,58.64883999999999,1.6461875,23.98296125,0.2918544277711031,406.1339966000767,139.4057659238939,0.0,106.57918985558648,12.880050127320851,46.3503784201282,538.980458976738,0.1248114932203391,178.46308879187671,5.5576352283527415,0.7726334567603211,4874.276946362599,996.4041446183256,947.7740381876798,892.4123019404324,167.79980873652488,65.17551742196538,676.9090133885763,0.6353914458905763,1106.4125145992343,30.53554990322737,54,136,27105.6163223485,LC
Agaricus arvensis,42.398228125,6.122206875,13.00108375,0.4357025,1.2649,239.198875,105.85207624999995,89.63832874999997,1.6166124999999998,71.12367499999996,0.0932130241889175,679.2798445659444,156.0829046286126,0.0,32.2227766810335,6.943809908557167,37.35208920997596,496.7081633555114,0.0823774545208904,151.64560874292994,3.442281238755282,0.7919929208587637,5257.718520542464,999.93791867047,942.0734637112604,884.3558860358073,253.10824781505863,78.71782683077831,791.3922524360829,0.6011302862258164,1182.3750297198412,42.4679727569284,1458,3816,363921.848318076,LC
